SurfaceWindGustsMph,ZeroToTenLiquidSoilMoisturePercent,TenToFortyLiquidSoilMoisturePercent,FortyToOneHundredLiquidSoilMoisturePercent,SurfaceTemperatureFahrenheit,SurfaceDewpointTemperatureFahrenheit,SurfaceWetBulbTemperatureFahrenheit,RelativeHumidityPercent,brightness,bright_t31,frp
26.6,14.9,21.8,22.9,57.1,55.0,55.7,93,338.9,294.9,6.4
30.9,14.8,21.9,23.0,76.6,50.2,60.2,39,309.1,293.8,2.9
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,344.4,305.6,53.0
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,347.2,292.2,59.8
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,367.0,296.7,134.2
8.3,14.1,22.8,23.9,55.1,54.3,54.6,97,367.0,359.0,199.5
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,320.0,293.5,4.6
25.7,12.7,18.4,19.8,61.9,36.0,48.9,38,311.5,292.0,16.1
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,333.0,294.1,46.5
15.2,13.9,23.2,24.3,67.2,54.8,59.6,65,314.6,291.8,4.1
26.0,14.5,24.6,25.4,74.3,50.1,59.3,42,339.6,297.2,4.4
9.2,14.5,21.5,22.6,64.2,53.5,57.7,69,303.7,292.7,9.2
21.5,14.6,24.6,25.5,63.8,52.8,57.2,68,335.8,301.3,4.3
20.0,12.9,19.1,20.5,51.1,49.4,50.3,95,306.8,292.4,12.0
28.8,12.5,19.6,21.0,56.8,50.3,53.0,78,331.4,304.9,24.6
27.8,12.6,19.4,20.8,48.9,46.7,47.7,92,425.4,311.1,1391.8
20.3,12.6,22.5,23.9,69.6,46.3,56.1,43,322.5,292.5,4.8
32.1,15.1,23.1,24.0,58.7,51.0,54.2,76,315.3,285.2,2.6
23.7,14.0,22.3,23.5,60.2,51.8,55.2,74,309.8,283.6,1.5
15.0,14.7,23.6,24.5,57.7,52.8,54.8,83,326.9,289.9,3.4
22.2,12.5,22.4,23.7,75.7,45.8,58.1,34,385.6,301.2,520.4
33.2,12.7,18.2,19.5,43.2,40.4,41.9,91,367.0,310.2,12.6
9.4,14.2,23.4,24.5,57.0,56.4,56.6,98,339.2,304.3,37.9
23.7,12.6,21.0,22.4,66.4,51.9,57.6,59,300.9,288.9,2.2
26.0,14.5,24.6,25.4,74.3,50.1,59.3,42,348.9,296.6,6.9
26.7,12.7,20.6,22.0,71.8,50.6,58.9,47,306.5,290.9,8.2
11.9,14.2,22.3,23.4,75.4,46.5,59.1,38,301.1,290.0,1.7
26.5,14.4,22.2,23.3,66.7,55.0,59.5,67,309.5,287.6,3.8
24.6,14.2,24.4,25.3,62.6,54.3,57.6,74,350.7,306.5,161.7
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,311.2,294.3,2.6
12.7,14.0,24.5,25.4,55.6,54.7,55.0,97,355.7,319.8,58.0
14.0,12.5,21.8,23.2,70.2,45.4,56.1,41,332.0,294.9,39.8
13.9,14.3,23.8,24.8,51.3,50.5,50.8,97,345.3,302.7,8.5
9.4,13.9,23.4,24.5,57.2,56.1,56.6,97,352.4,309.7,7.5
25.0,14.9,23.6,24.5,58.6,51.7,54.6,77,313.5,293.2,19.9
24.0,14.2,24.4,25.3,69.1,53.7,59.5,58,305.6,295.6,8.2
28.6,14.1,23.7,24.7,55.5,54.6,54.8,96,337.4,301.4,10.0
28.6,14.8,24.0,24.8,52.9,52.8,52.8,100,346.3,298.3,85.1
21.6,15.1,23.3,24.2,57.8,57.7,57.7,99,337.1,303.5,33.6
9.5,14.4,22.1,23.2,51.8,50.8,51.2,97,319.2,282.4,26.9
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,306.3,286.7,1.1
24.9,14.3,23.9,24.9,64.2,51.1,56.5,63,316.8,292.4,2.6
24.6,12.6,22.0,23.4,65.5,51.0,56.7,59,336.2,307.4,4.0
21.3,12.7,22.5,23.9,80.3,48.9,61.3,33,340.8,293.9,44.9
11.3,13.8,23.8,24.8,52.7,51.0,51.7,94,317.4,293.2,46.2
26.4,12.5,22.1,23.5,72.8,49.2,58.6,43,351.0,303.2,51.3
23.7,12.6,21.0,22.4,66.4,51.9,57.6,59,306.6,289.7,3.6
16.7,12.6,20.7,22.1,65.8,49.2,56.1,55,318.9,292.4,3.0
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,316.5,290.3,3.1
6.8,14.5,21.8,23.0,56.1,56.1,55.9,99,341.8,303.3,11.0
20.1,14.5,21.9,23.0,67.2,53.6,59.2,63,301.4,288.3,0.8
10.4,14.1,24.5,25.4,57.6,52.9,54.8,84,367.0,298.7,26.7
16.7,15.1,22.4,23.3,56.7,55.9,56.2,98,356.7,321.5,37.3
21.3,13.9,22.6,23.8,67.6,53.3,59.2,62,297.1,286.8,0.5
15.4,14.5,24.7,25.5,47.5,47.0,47.2,98,337.0,297.5,106.4
12.5,14.1,22.7,23.8,55.0,54.6,54.8,99,353.3,300.5,236.6
18.0,14.8,21.9,23.0,62.7,52.6,56.7,70,354.5,329.8,58.2
20.0,14.9,23.1,23.9,60.2,58.2,58.9,93,334.1,297.1,9.6
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,329.9,291.7,3.0
23.7,12.6,21.0,22.4,66.4,51.9,57.6,59,308.6,288.5,12.9
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,321.8,291.8,2.8
16.4,14.1,23.9,24.9,59.9,50.3,54.3,70,367.0,327.9,59.7
18.7,14.0,24.4,25.3,72.9,54.0,61.6,54,306.3,295.3,8.2
26.7,12.5,21.4,22.8,56.0,52.5,53.9,87,332.1,303.0,10.0
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,312.0,292.0,2.4
23.9,12.6,21.0,22.4,75.0,49.9,59.8,41,300.0,289.1,1.3
16.7,12.6,20.7,22.1,65.8,49.2,56.1,55,301.8,289.2,1.7
20.8,12.8,18.8,20.2,54.2,50.7,52.5,90,347.0,312.3,12.8
19.1,14.7,21.9,22.9,55.9,54.1,54.9,94,354.5,295.8,117.4
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,346.0,299.6,41.4
26.4,12.5,21.7,23.0,71.8,50.0,58.6,46,325.0,292.3,4.3
18.0,14.8,23.6,24.5,62.7,58.0,59.7,85,351.5,305.6,78.7
36.4,14.1,24.4,25.3,61.3,53.4,56.5,75,342.2,304.1,14.2
40.1,14.3,21.5,22.6,59.0,48.4,52.8,67,300.7,280.6,1.3
18.5,12.9,18.7,20.0,64.4,49.8,56.2,61,367.0,304.8,46.1
6.3,14.1,21.4,22.6,60.1,46.0,52.3,60,341.3,311.3,47.0
22.0,12.5,21.7,23.1,68.2,47.5,56.2,47,367.0,297.4,3.5
26.2,14.6,24.7,25.5,68.5,51.8,58.3,55,333.4,297.3,4.3
23.0,12.6,20.1,21.5,63.8,55.0,58.3,73,342.9,302.9,7.0
25.0,14.9,23.6,24.5,58.6,51.7,54.6,77,313.4,290.2,17.9
36.4,14.1,24.4,25.3,61.3,53.4,56.5,75,367.0,293.8,23.3
3.9,12.5,22.4,23.7,53.4,49.2,51.5,88,371.6,309.6,472.3
23.5,12.5,22.5,23.9,58.9,53.2,55.3,81,367.0,344.7,192.5
29.9,15.2,22.2,23.3,56.0,53.4,54.5,91,367.0,374.0,360.0
30.3,12.5,22.1,23.5,74.7,47.8,58.7,38,319.7,297.3,28.9
29.9,12.7,18.2,19.6,49.5,44.4,47.0,84,333.8,302.3,3.2
23.4,14.7,23.1,24.1,66.4,59.3,61.7,78,357.0,296.4,11.7
18.5,14.7,23.2,24.0,50.0,49.3,49.6,98,320.4,293.5,18.9
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,321.5,299.6,3.1
21.9,14.6,23.8,24.6,57.4,55.9,56.4,94,367.0,306.1,120.0
20.0,14.5,24.6,25.5,56.6,55.6,55.9,96,347.3,316.4,5.5
21.6,12.8,18.8,20.1,83.3,43.8,60.1,25,307.3,291.7,3.6
20.8,15.1,23.3,24.2,66.8,58.4,61.3,74,327.6,304.2,30.0
24.6,14.8,22.8,23.7,57.3,56.2,56.6,96,367.0,302.4,5.1
13.1,15.0,22.5,23.4,62.4,55.1,58.0,78,325.0,301.0,69.5
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,335.8,288.6,13.6
7.6,14.0,23.3,24.4,55.8,54.6,54.9,95,308.6,288.5,12.9
35.2,14.8,24.0,24.8,54.8,53.8,54.2,96,367.0,339.2,84.4
27.5,14.2,23.7,24.7,52.7,53.2,52.7,100,314.3,293.0,17.7
30.4,12.6,19.3,20.7,47.7,42.9,45.7,87,301.4,287.1,5.7
29.8,12.6,21.2,22.6,68.2,45.6,55.2,44,326.2,299.5,16.0
42.1,13.4,18.1,19.4,44.3,43.1,43.7,96,367.0,310.2,12.6
18.0,14.8,23.6,24.5,62.7,58.0,59.7,85,338.7,306.4,9.8
18.5,12.9,18.7,20.0,64.4,49.8,56.2,61,345.7,297.5,11.5
34.1,14.7,24.0,24.8,52.2,52.0,52.1,100,314.6,289.3,49.1
23.5,12.5,22.5,23.9,58.9,53.2,55.3,81,367.0,310.5,36.3
35.3,13.3,18.1,19.4,55.0,52.6,53.6,92,367.0,310.2,12.6
28.6,14.1,23.7,24.7,55.5,54.6,54.8,96,347.2,297.8,38.5
31.3,12.5,21.6,23.0,64.4,53.1,57.5,66,334.3,296.7,7.9
19.4,14.8,23.4,24.3,68.7,55.2,60.2,62,324.0,296.7,5.0
21.6,12.8,18.8,20.1,83.3,43.8,60.1,25,303.0,290.6,2.0
37.8,12.8,22.7,24.1,55.8,44.8,49.9,67,344.4,299.4,42.3
17.2,14.8,23.6,24.5,57.6,56.6,56.9,96,352.1,296.7,82.8
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,343.2,300.2,3.6
15.4,12.3,19.8,21.2,55.5,54.4,54.8,96,367.0,380.0,341.1
17.1,14.9,23.1,23.9,64.6,54.1,58.0,69,308.8,288.6,0.8
10.7,14.4,22.0,23.1,52.0,51.0,51.5,97,336.1,294.3,6.6
12.2,14.1,21.0,22.2,52.4,48.3,50.2,87,333.8,302.3,3.2
21.6,12.8,18.8,20.1,83.3,43.8,60.1,25,341.0,295.7,5.1
47.0,14.9,21.7,22.8,58.3,50.6,53.8,76,330.9,279.5,3.5
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,345.8,304.7,70.8
25.0,14.0,23.8,24.7,61.3,58.2,59.4,90,344.1,304.3,14.9
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,309.1,285.8,2.4
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,301.6,286.8,0.9
37.2,13.4,18.1,19.4,42.7,38.8,41.1,88,367.0,310.2,12.6
29.1,14.4,24.0,24.8,57.9,56.4,56.9,94,347.6,303.4,9.0
33.3,12.6,20.4,21.8,61.1,50.9,55.6,71,355.4,303.1,19.8
13.2,14.4,22.0,22.9,53.9,53.6,53.5,98,350.0,313.4,18.1
19.4,14.8,23.4,24.3,68.7,55.2,60.2,62,328.4,297.8,2.1
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,332.5,294.8,3.9
20.3,12.6,22.5,23.9,69.6,46.3,56.1,43,307.3,293.5,7.0
18.5,12.9,18.7,20.0,64.4,49.8,56.2,61,352.0,309.7,11.9
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,367.0,315.0,104.7
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,336.9,295.7,9.9
36.1,12.4,19.4,20.8,54.3,51.2,52.5,89,367.0,300.3,13.2
12.6,14.3,21.4,22.6,58.3,51.8,54.5,79,342.5,298.9,123.6
17.6,12.6,20.8,22.2,74.6,55.7,62.5,51,303.9,291.9,1.6
35.0,12.4,19.4,20.8,52.0,50.4,51.1,94,367.0,288.3,9.5
18.8,12.5,21.1,22.5,56.9,56.0,56.2,96,326.9,295.9,67.2
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,333.0,298.8,52.4
29.8,12.6,21.2,22.6,68.2,45.6,55.2,44,343.6,295.6,5.6
27.0,12.8,19.0,20.3,57.7,49.0,52.7,73,336.1,294.3,6.6
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,348.0,295.6,9.1
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,331.5,301.5,21.0
26.6,15.0,23.0,24.0,51.1,50.0,50.5,97,301.9,287.5,6.6
33.8,14.3,23.7,24.6,56.8,56.0,56.2,97,342.5,298.2,10.1
32.0,12.6,19.4,20.8,51.3,49.3,50.3,93,314.4,322.3,91.5
42.9,13.3,18.1,19.4,42.6,41.3,41.9,95,367.0,310.2,12.6
21.5,14.8,23.6,24.5,68.7,53.5,59.3,58,354.5,300.8,9.5
21.5,12.8,18.8,20.2,73.1,48.2,58.2,41,299.9,289.1,1.0
42.0,13.4,18.1,19.4,60.6,48.2,53.5,63,367.0,310.2,12.6
24.9,14.9,23.7,24.6,60.4,52.9,55.9,76,310.2,291.5,1.0
33.3,12.6,20.4,21.8,61.1,50.9,55.6,71,367.0,299.0,11.6
20.0,14.5,24.6,25.5,56.6,55.6,55.9,96,367.0,340.7,240.6
37.5,12.5,21.1,22.5,70.9,49.0,57.8,45,361.5,309.3,88.4
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,338.1,303.0,25.4
23.9,14.6,24.6,25.5,75.9,50.5,60.0,40,324.5,296.6,4.4
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,332.9,288.6,2.1
25.4,12.5,21.4,22.8,74.0,50.9,60.0,44,304.4,286.6,17.8
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,322.1,293.3,13.0
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,355.7,301.7,6.1
22.3,14.5,23.2,24.0,66.6,56.2,60.1,70,326.7,300.6,86.6
20.0,14.5,23.6,24.5,57.1,56.5,56.6,97,334.7,303.1,25.6
18.9,12.5,21.0,22.4,73.1,49.3,58.8,43,304.3,288.8,1.2
16.1,14.1,22.7,23.8,68.8,52.8,59.2,58,299.5,284.4,1.7
28.6,14.1,23.7,24.7,55.5,54.6,54.8,96,367.0,321.3,102.0
19.0,12.5,21.1,22.5,74.6,47.9,58.9,39,304.3,288.8,1.2
32.7,12.6,19.5,20.8,58.0,51.4,54.0,78,367.0,304.2,52.1
7.6,14.6,21.1,22.3,54.9,36.5,46.3,52,367.0,310.2,12.6
12.1,12.5,21.9,23.3,67.1,45.2,54.7,45,326.2,296.1,135.2
22.0,12.4,19.7,21.1,67.1,48.4,56.1,51,304.1,292.3,11.2
18.3,14.1,21.0,22.2,70.9,49.4,58.3,47,308.4,287.5,1.1
26.4,12.5,21.7,23.0,71.8,50.0,58.6,46,337.1,293.6,8.9
17.5,14.2,21.6,22.7,58.7,55.5,56.6,88,299.7,286.7,0.7
26.7,12.5,21.4,22.8,56.0,52.5,53.9,87,334.2,293.3,4.4
9.3,14.6,21.1,22.3,73.7,38.5,55.2,29,367.0,310.2,12.6
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,314.6,292.0,2.5
18.7,13.3,18.0,19.3,55.1,26.4,42.8,33,367.0,310.2,12.6
26.3,12.8,18.8,20.2,54.0,47.2,51.0,82,347.0,312.3,12.8
24.4,14.4,24.5,25.4,56.9,53.7,54.9,89,346.9,295.3,5.3
20.3,12.5,19.7,21.1,53.7,53.0,53.3,97,367.0,308.9,34.1
22.9,15.2,22.6,23.6,64.7,49.3,55.7,57,297.4,282.7,0.6
20.0,14.5,23.6,24.5,57.1,56.5,56.6,97,335.7,312.3,24.2
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,346.9,292.6,20.8
24.9,14.7,21.9,22.9,68.5,54.0,59.5,60,334.3,295.0,11.0
20.3,12.6,22.5,23.9,69.6,46.3,56.1,43,324.4,293.8,12.1
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,355.7,302.1,20.3
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,338.2,290.2,9.0
23.1,14.3,24.6,25.5,72.7,50.1,59.5,46,315.0,289.4,6.3
16.7,15.1,22.4,23.3,56.7,55.9,56.2,98,328.2,302.0,17.5
20.9,12.6,20.9,22.3,54.0,50.1,52.1,89,337.6,297.9,4.7
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,347.8,307.2,8.8
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,340.8,293.9,44.9
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,322.8,295.6,12.6
23.5,14.2,24.3,25.2,58.5,57.3,57.8,96,367.0,361.7,254.6
24.0,14.2,24.4,25.3,69.1,53.7,59.5,58,307.6,291.6,4.3
19.8,12.5,21.1,22.5,55.6,54.8,55.0,97,352.4,309.7,7.5
25.4,15.1,22.6,23.5,52.5,51.3,51.8,96,332.2,301.5,16.0
19.3,12.5,21.9,23.2,59.9,50.9,54.8,73,355.5,325.1,24.6
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,302.2,291.0,1.6
18.0,14.8,21.9,23.0,62.7,52.6,56.7,70,355.6,309.4,44.2
29.9,15.2,22.2,23.3,56.0,53.4,54.5,91,356.4,323.0,18.6
23.7,12.6,21.0,22.4,66.4,51.9,57.6,59,305.6,287.5,2.2
23.7,12.6,21.0,22.4,66.4,51.9,57.6,59,347.8,295.9,4.2
19.0,14.9,23.4,24.3,56.5,55.5,55.8,96,311.1,295.1,7.6
39.6,12.6,19.4,20.8,53.8,49.3,51.2,85,324.6,287.2,6.5
9.7,14.1,23.3,24.3,55.9,54.2,54.9,94,306.4,293.6,13.1
13.6,14.2,22.7,23.8,63.2,52.2,56.6,68,301.0,275.5,4.4
23.5,12.5,22.5,23.9,58.9,53.2,55.3,81,367.0,330.8,17.5
23.9,14.6,24.6,25.5,75.9,50.5,60.0,40,302.9,290.6,1.8
22.5,14.9,23.6,24.6,49.6,49.7,49.7,100,320.0,292.2,53.2
19.8,15.3,22.4,23.4,59.3,57.9,58.4,95,367.0,361.8,221.1
9.6,14.5,21.5,22.6,73.0,52.7,60.8,50,303.1,291.8,2.7
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,323.1,295.9,18.7
36.3,13.3,18.1,19.4,55.4,53.1,54.0,92,367.0,310.2,12.6
39.1,12.7,18.1,19.5,43.5,42.5,43.0,96,367.0,310.2,12.6
16.0,13.8,23.9,24.9,67.6,49.7,56.9,52,301.1,288.7,1.1
29.8,14.9,22.8,23.7,64.4,54.4,58.3,70,303.3,260.8,0.4
26.7,12.5,21.4,22.8,56.0,52.5,53.9,87,341.9,302.8,6.2
26.7,12.5,21.4,22.8,56.0,52.5,53.9,87,341.3,309.8,31.6
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,336.7,297.4,3.4
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,333.4,312.3,16.7
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,332.3,301.4,9.9
20.6,14.8,23.6,24.6,62.6,51.6,56.0,67,324.4,294.7,4.8
22.0,12.5,21.7,23.1,68.2,47.5,56.2,47,315.4,290.7,1.6
14.3,14.4,21.9,23.1,50.5,49.3,49.9,96,333.0,299.0,35.6
23.4,14.7,24.3,25.3,52.9,51.7,52.3,97,362.6,293.5,207.9
33.8,15.6,22.7,23.7,54.4,51.1,52.5,89,367.0,295.5,15.4
24.9,14.7,21.9,22.9,68.5,54.0,59.5,60,327.1,292.4,3.9
8.3,14.3,21.8,23.0,62.4,53.1,56.6,71,323.8,294.2,68.0
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,302.3,290.7,0.8
18.0,14.8,23.6,24.5,62.7,58.0,59.7,85,330.7,302.4,29.9
23.2,14.1,22.4,23.5,58.7,54.2,55.9,85,343.0,272.7,6.1
21.6,15.1,23.3,24.2,57.8,57.7,57.7,99,341.3,303.0,37.9
17.7,14.3,22.7,23.8,64.1,56.7,59.6,77,320.7,300.8,50.9
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,352.9,294.9,8.9
20.3,12.6,22.5,23.9,69.6,46.3,56.1,43,345.4,298.2,7.0
17.1,14.9,23.1,23.9,64.6,54.1,58.0,69,333.8,291.0,3.7
24.9,14.9,23.7,24.6,60.4,52.9,55.9,76,337.3,291.0,2.9
24.4,12.9,19.0,20.4,50.7,50.9,50.7,100,339.1,301.1,148.4
24.6,12.6,22.0,23.4,65.5,51.0,56.7,59,352.5,297.3,5.3
