SurfaceWindGustsMph,ZeroToTenLiquidSoilMoisturePercent,TenToFortyLiquidSoilMoisturePercent,FortyToOneHundredLiquidSoilMoisturePercent,SurfaceTemperatureFahrenheit,SurfaceDewpointTemperatureFahrenheit,SurfaceWetBulbTemperatureFahrenheit,RelativeHumidityPercent,brightness,bright_t31,frp
16.4,14.1,23.4,24.5,68.2,57.1,61.2,68,345.3,297.1,10.9
9.9,14.2,21.6,22.7,76.1,46.5,59.2,37,333.7,305.5,4.0
29.9,14.4,24.4,25.3,50.4,49.7,50.0,97,362.8,306.1,146.0
21.5,14.6,24.6,25.5,63.8,52.8,57.2,68,335.7,301.8,4.3
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,338.7,295.6,11.6
16.0,14.1,23.4,24.4,65.8,54.4,58.9,67,311.8,289.7,2.4
22.4,12.5,21.4,22.8,60.4,49.6,54.2,68,301.2,288.9,2.3
39.5,12.8,22.7,24.1,49.5,45.1,47.5,87,367.0,306.9,76.9
24.7,12.6,20.5,21.8,59.2,51.1,54.5,75,350.1,292.8,7.0
8.2,14.2,21.4,22.5,67.0,54.4,59.3,65,320.6,290.8,2.2
25.8,12.5,21.4,22.8,50.5,48.9,49.6,94,335.2,298.4,1.9
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,328.2,291.2,2.5
29.5,12.6,19.5,20.9,60.9,50.6,54.8,69,352.1,293.5,4.2
26.6,14.9,21.8,22.9,57.1,55.0,55.7,93,331.2,301.2,4.9
16.5,14.9,23.4,24.4,66.6,54.1,58.9,64,306.6,293.2,1.4
20.4,14.9,23.6,24.6,60.5,58.5,59.3,93,344.7,306.3,7.1
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,343.5,303.0,6.9
14.4,13.7,23.9,24.9,64.5,56.9,59.7,76,334.7,303.8,152.7
21.4,14.8,23.3,24.2,66.9,57.5,61.0,72,341.9,301.8,41.5
30.9,14.8,21.9,23.0,76.6,50.2,60.2,39,301.7,291.6,4.2
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,327.2,297.9,24.1
14.1,13.8,22.3,23.4,55.0,54.5,54.7,98,331.4,304.9,24.6
23.4,14.5,21.5,22.6,51.6,51.0,51.3,98,301.6,289.8,6.5
22.4,12.8,19.0,20.4,45.5,45.5,45.4,100,319.2,282.4,26.9
25.0,14.9,23.0,24.0,52.9,51.8,52.2,96,341.7,310.4,20.8
33.8,14.3,23.7,24.6,56.8,56.0,56.2,97,338.8,299.7,7.0
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,336.5,296.8,11.0
18.4,14.0,24.3,25.2,72.7,52.4,60.7,51,311.0,290.9,2.8
10.9,14.3,24.0,24.9,53.6,52.0,52.7,95,335.2,298.4,1.9
10.1,12.7,18.3,19.7,80.3,33.1,55.5,18,341.3,311.3,47.0
15.0,14.7,23.6,24.5,57.7,52.8,54.8,83,301.7,288.7,2.3
24.3,12.9,19.0,20.4,54.2,53.4,53.7,97,339.1,301.1,148.4
18.4,14.8,23.1,23.9,53.8,53.9,53.8,100,302.3,290.4,4.8
7.8,14.5,21.5,22.7,60.0,51.1,54.6,72,344.8,311.7,99.0
23.1,15.1,23.1,24.0,52.4,50.5,51.3,93,367.0,309.4,183.0
21.9,14.0,22.3,23.5,57.4,51.7,54.0,81,331.6,293.5,92.1
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,367.0,294.5,57.1
37.5,12.5,21.1,22.5,70.9,49.0,57.8,45,336.5,316.0,23.0
15.8,14.1,21.0,22.2,58.9,48.1,52.7,67,367.0,310.2,12.6
20.0,14.9,23.1,23.9,60.2,58.2,58.9,93,338.2,298.5,2.8
10.1,14.0,22.6,23.8,54.9,54.2,54.4,97,367.0,306.0,46.0
19.6,12.6,22.5,23.8,71.5,52.0,59.5,50,340.8,293.9,44.9
21.5,12.5,22.4,23.7,58.6,51.5,54.3,77,337.9,309.4,64.3
26.3,14.5,24.0,24.8,59.0,49.4,53.5,71,355.3,293.8,7.2
16.0,13.8,23.9,24.9,67.6,49.7,56.9,52,367.0,298.4,11.1
27.2,12.6,20.0,21.4,54.7,53.9,54.2,97,346.9,296.4,14.6
27.1,14.2,23.8,24.8,67.3,53.8,59.3,63,301.6,290.9,4.6
37.0,12.9,18.6,19.9,48.2,47.2,47.7,97,318.2,298.0,18.2
27.2,12.6,20.0,21.4,54.7,53.9,54.2,97,367.0,293.7,12.6
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,313.5,290.9,1.7
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,347.4,298.2,32.1
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,356.4,308.8,11.5
20.0,14.5,23.6,24.5,57.1,56.5,56.6,97,351.1,305.8,20.8
26.2,14.6,24.7,25.5,68.5,51.8,58.3,55,322.3,295.3,3.8
24.3,13.8,23.8,24.8,68.5,50.9,57.8,53,311.3,291.5,3.4
17.2,14.8,23.6,24.5,57.6,56.6,56.9,96,367.0,300.5,52.6
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,321.6,295.0,3.6
23.5,12.5,22.5,23.9,58.9,53.2,55.3,81,367.0,326.6,192.5
29.2,14.9,22.8,23.7,55.9,55.7,55.9,100,332.9,298.3,31.4
13.4,14.3,23.8,24.8,56.8,52.7,54.3,86,320.9,291.3,30.5
6.0,14.1,23.3,24.4,54.6,54.6,54.6,100,340.3,305.7,55.2
18.3,15.0,23.0,23.9,76.4,46.2,58.2,33,301.1,290.0,1.7
27.0,14.9,24.0,24.8,59.5,50.1,54.1,72,297.4,284.4,0.8
20.6,14.8,23.6,24.6,62.6,51.6,56.0,67,337.6,293.9,4.4
19.6,15.3,22.4,23.4,62.0,58.2,59.6,88,322.9,300.2,99.9
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,313.2,299.0,10.9
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,367.6,294.3,598.0
16.0,14.2,23.8,24.8,52.7,52.2,52.4,98,347.2,315.7,108.9
16.0,12.9,18.8,20.1,71.6,37.8,53.8,29,336.4,292.5,27.3
27.5,14.8,24.0,24.8,51.2,51.6,51.2,100,367.0,305.5,20.5
18.5,12.9,18.7,20.0,64.4,49.8,56.2,61,367.0,308.7,100.1
13.0,14.0,23.8,24.7,54.8,54.6,54.6,99,367.0,301.3,54.3
11.0,14.1,22.2,23.3,56.3,55.9,56.0,99,325.7,305.6,64.7
34.2,14.1,24.4,25.3,53.9,52.1,52.8,93,338.8,309.3,248.7
19.4,14.8,23.4,24.3,68.7,55.2,60.2,62,306.8,294.7,1.4
17.1,13.8,23.9,24.9,70.9,50.0,58.2,47,317.1,295.3,16.0
35.4,14.1,24.4,25.3,56.5,53.1,54.4,88,344.9,306.9,17.4
24.4,14.4,24.5,25.4,56.9,53.7,54.9,89,350.3,297.5,13.5
26.0,14.5,24.6,25.4,74.3,50.1,59.3,42,335.9,295.9,4.7
23.9,14.2,21.6,22.6,57.7,50.5,53.6,77,340.4,286.8,48.4
33.9,12.8,18.5,19.9,73.7,47.1,58.0,39,299.3,285.9,0.5
9.7,14.1,23.3,24.3,58.3,53.6,55.5,85,306.4,293.6,13.1
24.7,14.2,24.4,25.3,67.5,53.7,59.1,62,349.3,304.0,58.5
29.0,12.5,19.6,21.0,58.8,51.5,54.4,76,354.9,312.2,28.0
16.5,14.2,23.9,24.9,52.3,52.1,52.2,99,318.9,299.3,46.6
45.3,14.9,21.7,22.8,54.5,50.3,52.1,86,313.2,284.7,14.7
26.0,14.8,23.3,24.1,64.4,52.4,57.1,65,310.5,289.5,0.8
10.8,14.0,24.4,25.3,55.3,53.5,54.3,94,342.9,305.1,6.8
21.5,14.6,24.6,25.5,63.8,52.8,57.2,68,336.3,306.6,10.1
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,343.1,307.1,24.2
26.3,14.5,24.0,24.8,59.0,49.4,53.5,71,310.3,289.7,1.5
22.4,12.5,21.4,22.8,60.4,49.6,54.2,68,315.6,286.3,3.1
20.0,14.5,23.6,24.5,57.1,56.5,56.6,97,333.1,299.7,25.9
36.1,14.7,24.0,24.8,57.3,53.9,55.3,89,344.9,289.6,13.2
36.1,14.7,24.0,24.8,57.3,53.9,55.3,89,340.8,298.9,26.3
19.6,15.3,22.4,23.4,57.6,56.8,57.1,97,314.5,319.9,50.6
33.8,14.3,23.7,24.6,56.8,56.0,56.2,97,357.6,303.8,217.1
29.9,15.2,22.2,23.3,56.0,53.4,54.5,91,367.0,335.3,221.4
24.0,14.2,24.4,25.3,69.1,53.7,59.5,58,311.6,297.2,5.6
37.5,12.5,21.1,22.5,70.9,49.0,57.8,45,345.7,310.0,48.9
33.8,15.6,22.7,23.7,54.4,51.1,52.5,89,318.7,306.2,47.5
10.1,14.1,24.4,25.4,66.2,53.8,58.7,65,321.9,295.3,15.8
24.4,14.4,24.5,25.4,56.9,53.7,54.9,89,367.0,306.3,18.5
11.3,14.2,23.5,24.5,60.6,51.3,55.1,72,305.2,292.5,39.5
33.8,14.3,23.7,24.6,56.8,56.0,56.2,97,345.1,303.0,7.7
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,328.9,295.0,3.0
7.0,14.3,21.8,23.0,51.6,48.0,49.8,89,325.6,302.9,14.0
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,335.3,298.7,52.6
31.3,12.5,21.6,23.0,64.4,53.1,57.5,66,340.8,301.8,8.7
19.0,14.0,21.0,22.2,52.1,49.6,50.7,91,367.0,310.2,12.6
8.7,14.5,21.5,22.6,60.4,55.3,57.5,84,364.8,313.7,224.4
18.0,14.8,21.9,23.0,62.7,52.6,56.7,70,350.0,301.6,16.8
11.8,14.4,21.9,23.1,67.7,46.7,56.0,48,313.0,285.5,1.0
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,341.7,296.3,7.7
18.7,14.6,23.6,24.4,58.2,57.6,57.8,98,334.4,302.9,3.6
30.4,12.7,22.6,24.0,50.7,44.4,48.2,84,328.5,305.2,140.7
9.6,14.2,22.7,23.8,55.2,54.9,55.1,99,398.8,316.9,424.7
29.7,12.6,21.2,22.6,72.5,44.3,56.4,36,301.6,290.9,4.6
8.4,14.1,23.3,24.3,57.9,55.7,56.6,93,356.3,309.2,49.8
20.6,14.7,23.3,24.3,66.3,58.8,61.5,77,329.8,308.4,21.2
21.5,14.8,23.6,24.5,68.7,53.5,59.3,58,311.8,294.3,5.2
25.2,14.0,22.4,23.5,62.0,50.3,55.3,66,309.8,283.6,1.5
16.7,12.6,20.7,22.1,65.8,49.2,56.1,55,318.8,295.0,1.7
27.5,14.8,24.0,24.8,51.2,51.6,51.2,100,367.0,306.6,21.0
25.9,12.8,19.0,20.3,69.7,44.6,55.6,41,336.1,294.3,6.6
25.6,14.8,23.5,24.4,55.6,53.9,54.6,94,308.6,288.5,12.9
10.2,12.3,19.8,21.2,54.1,52.6,53.3,95,367.0,380.0,341.1
19.0,14.8,23.6,24.5,74.1,56.2,62.6,53,339.3,304.4,47.0
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,316.6,300.4,3.7
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,322.7,291.3,3.1
31.4,12.5,21.3,22.7,50.5,49.2,49.9,95,300.8,287.6,38.8
11.1,12.5,21.9,23.3,62.6,44.1,52.6,52,326.2,296.1,135.2
18.0,14.8,21.9,23.0,62.7,52.6,56.7,70,338.0,312.4,27.0
28.6,14.1,23.7,24.7,55.5,54.6,54.8,96,367.0,314.4,25.1
34.1,14.5,24.0,24.8,56.9,54.6,55.4,91,349.1,300.5,16.0
21.1,12.6,20.0,21.4,71.3,49.2,58.0,45,334.4,293.2,3.2
19.3,12.5,21.9,23.2,59.9,50.9,54.8,73,367.0,341.1,95.5
36.4,14.1,24.4,25.3,61.3,53.4,56.5,75,333.2,294.4,7.2
38.5,12.6,19.4,20.8,67.0,47.9,55.8,50,343.0,272.7,6.1
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,312.0,291.2,3.4
27.5,15.6,22.7,23.7,55.9,53.6,54.5,92,349.2,309.7,8.1
16.5,14.5,22.2,23.3,53.6,51.9,52.7,94,347.3,296.7,15.7
12.8,14.2,22.8,23.9,67.1,55.3,59.8,66,322.9,294.6,72.1
21.9,14.6,23.8,24.6,57.4,55.9,56.4,94,346.2,308.1,52.3
20.6,14.5,21.5,22.6,64.4,50.4,56.0,60,308.4,287.5,1.1
16.0,13.8,23.9,24.9,67.6,49.7,56.9,52,309.1,290.3,4.1
13.2,12.6,19.2,20.6,61.0,52.2,56.1,74,332.3,292.3,4.1
26.0,14.5,24.6,25.4,74.3,50.1,59.3,42,329.1,297.9,5.2
9.8,14.5,21.5,22.6,55.8,54.3,54.8,94,367.0,309.5,22.4
29.9,15.2,22.2,23.3,56.0,53.4,54.5,91,350.8,323.0,58.3
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,339.3,301.2,4.3
26.0,14.8,23.3,24.1,64.4,52.4,57.1,65,303.3,290.0,7.3
24.6,14.2,24.4,25.3,62.6,54.3,57.6,74,347.5,294.6,9.1
16.7,12.6,20.7,22.1,65.8,49.2,56.1,55,307.9,292.7,2.9
16.0,13.8,23.9,24.9,67.6,49.7,56.9,52,311.2,296.1,54.8
18.5,12.9,18.7,20.0,64.4,49.8,56.2,61,332.0,301.9,6.6
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,310.0,295.1,10.2
21.7,12.8,19.0,20.4,47.1,47.5,47.1,100,319.2,282.4,26.9
34.1,14.5,24.0,24.8,56.9,54.6,55.4,91,341.4,303.0,7.1
17.0,14.7,21.2,22.4,49.9,47.8,48.8,93,367.0,310.2,12.6
23.1,12.9,19.0,20.4,53.5,53.0,53.3,99,339.1,301.1,148.4
8.6,14.3,21.9,23.0,55.4,52.7,53.7,90,323.8,294.2,68.0
23.2,12.6,20.1,21.5,57.4,50.4,53.3,78,303.1,288.1,45.0
15.4,12.7,18.3,19.6,74.7,54.5,61.8,49,320.6,290.8,2.2
10.8,14.0,22.3,23.4,52.6,49.5,51.0,90,328.1,308.1,24.7
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,339.1,312.2,7.4
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,330.3,290.1,15.7
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,355.2,304.1,13.5
17.9,14.3,21.8,23.0,67.3,54.0,59.3,63,302.6,290.2,5.9
26.6,14.5,24.0,24.8,55.9,49.9,52.5,80,301.7,286.3,1.0
29.8,12.6,21.2,22.6,68.2,45.6,55.2,44,335.6,298.2,4.6
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,319.5,295.3,2.4
28.1,12.5,21.2,22.6,52.0,50.6,51.1,94,341.8,307.2,36.4
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,315.1,290.3,1.4
26.4,12.5,22.1,23.5,72.8,49.2,58.6,43,342.3,302.7,14.0
22.0,12.5,21.7,23.1,68.2,47.5,56.2,47,304.1,291.2,0.7
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,351.1,304.1,8.1
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,347.9,294.3,52.0
21.9,14.6,23.8,24.6,57.4,55.9,56.4,94,347.5,302.0,11.7
24.4,14.4,24.5,25.4,56.9,53.7,54.9,89,367.0,298.7,26.7
30.9,12.5,21.5,22.9,50.7,47.0,49.0,89,300.7,289.0,18.5
14.7,13.9,22.5,23.7,54.1,53.7,53.9,99,367.0,299.2,22.2
16.0,12.9,18.8,20.1,71.6,37.8,53.8,29,320.4,292.5,7.6
29.7,12.6,19.5,20.9,64.8,49.6,55.8,57,309.4,288.9,1.5
17.4,12.7,19.2,20.6,52.7,53.4,52.8,100,325.7,305.6,64.7
26.2,14.6,24.7,25.5,68.5,51.8,58.3,55,325.8,294.6,5.6
34.7,14.2,24.4,25.4,51.1,49.3,50.2,94,333.8,295.4,142.4
23.1,15.1,23.1,24.0,52.4,50.5,51.3,93,345.2,311.1,7.2
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,301.8,286.6,1.4
24.9,12.5,19.7,21.0,64.8,51.4,56.7,61,359.9,308.0,89.4
35.0,12.4,19.4,20.8,52.0,50.4,51.1,94,347.0,310.7,32.3
18.4,12.6,18.3,19.7,85.5,34.8,58.1,16,313.2,292.1,11.6
16.5,14.6,23.1,23.9,58.6,57.2,57.6,95,339.4,298.5,16.4
11.4,14.3,21.4,22.6,59.0,54.1,56.0,84,342.5,298.9,123.6
16.7,12.6,20.7,22.1,65.8,49.2,56.1,55,300.4,289.9,0.3
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,333.7,288.3,2.9
24.3,13.8,23.8,24.8,68.5,50.9,57.8,53,306.8,290.7,1.9
23.4,15.0,23.3,24.2,56.8,56.1,56.3,97,355.4,310.7,23.6
26.3,14.5,24.0,24.8,59.0,49.4,53.5,71,300.4,289.8,1.5
24.9,14.9,23.7,24.6,60.4,52.9,55.9,76,316.0,292.9,1.5
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,348.0,317.7,38.3
10.7,14.4,22.0,23.1,51.3,50.3,50.8,97,336.1,294.3,6.6
25.0,12.6,19.2,20.5,71.6,51.1,59.2,48,301.2,289.0,0.5
23.1,15.1,23.1,24.0,52.4,50.5,51.3,93,349.8,291.4,42.4
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,310.4,292.8,1.2
12.2,12.6,20.9,22.3,55.8,54.0,54.9,95,340.4,303.4,9.7
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,344.5,293.4,42.3
23.4,14.8,23.2,24.1,60.0,58.6,59.1,96,376.0,301.2,405.2
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,315.1,295.2,2.3
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,330.9,294.1,137.3
19.1,14.7,21.9,22.9,55.9,54.1,54.9,94,383.6,303.2,275.5
13.1,14.1,22.2,23.3,60.0,55.1,57.0,84,306.7,290.3,8.5
31.0,12.5,21.3,22.7,52.5,49.2,50.6,88,300.8,287.6,38.8
13.7,14.3,23.8,24.8,54.3,53.6,53.8,98,341.1,305.2,259.5
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,334.7,294.8,7.3
45.3,14.9,21.7,22.8,54.5,50.3,52.1,86,334.4,285.7,39.5
27.3,14.6,24.6,25.5,59.0,49.5,53.5,71,325.7,297.2,26.0
18.2,12.4,19.8,21.2,61.7,49.2,54.4,63,295.4,283.7,0.7
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,345.7,292.4,3.7
19.0,12.5,21.9,23.2,78.9,49.1,60.9,36,343.4,306.9,38.2
27.0,14.9,24.0,24.8,59.5,50.1,54.1,72,367.0,295.5,8.9
26.1,14.3,24.5,25.3,56.5,53.9,54.9,91,323.1,296.5,18.6
20.9,12.4,19.7,21.1,56.5,49.4,52.4,77,308.1,292.4,45.4
28.6,14.1,23.7,24.7,55.5,54.6,54.8,96,340.5,305.5,12.8
18.0,14.8,23.6,24.5,62.7,58.0,59.7,85,367.0,332.6,63.4
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,342.8,302.6,7.7
22.4,12.5,21.4,22.8,67.1,50.8,57.4,56,304.4,286.6,17.8
27.0,14.9,24.0,24.8,59.5,50.1,54.1,72,351.3,295.4,6.9
16.5,14.6,23.1,23.9,58.6,57.2,57.6,95,340.1,301.0,4.8
8.9,12.8,18.9,20.3,62.6,44.4,52.5,51,333.0,299.0,35.6
13.4,15.2,22.3,23.3,56.7,55.9,56.2,97,339.3,309.2,8.6
29.9,14.4,24.4,25.3,50.4,49.7,50.0,97,322.4,295.3,28.4
30.0,14.1,24.4,25.4,68.0,49.3,57.0,51,328.3,297.4,23.1
43.4,12.8,18.6,20.0,52.2,44.5,48.1,75,345.6,302.3,67.5
30.8,12.5,21.3,22.7,59.6,55.3,56.8,85,326.4,296.7,97.7
6.6,14.2,21.5,22.6,57.6,43.5,50.2,60,341.3,311.3,47.0
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,332.8,294.5,11.4
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,323.3,294.6,4.5
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,338.9,309.7,32.6
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,347.6,296.7,3.9
24.7,12.6,20.5,21.8,59.2,51.1,54.5,75,315.2,291.8,7.0
12.7,14.2,22.8,23.9,64.0,50.9,56.3,63,302.9,291.2,1.0
24.7,12.8,18.8,20.2,53.0,50.4,51.7,92,347.0,312.3,12.8
13.2,12.6,19.2,20.6,61.0,52.2,56.1,74,345.6,310.5,10.7
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,313.3,291.9,1.2
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,352.9,299.2,17.8
37.2,12.8,22.7,24.1,51.1,43.9,47.6,78,367.0,306.9,76.9
30.6,15.5,22.8,23.7,60.0,51.4,55.0,74,312.1,286.7,11.4
47.0,14.9,21.7,22.8,58.3,50.6,53.8,76,303.8,277.7,3.5
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,334.8,290.7,1.7
26.6,14.5,24.0,24.8,55.9,49.9,52.5,80,310.1,286.9,3.2
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,367.0,295.9,11.9
17.6,12.7,18.3,19.6,60.4,51.0,54.8,71,301.6,289.8,6.5
15.5,13.3,18.0,19.2,84.4,27.0,55.9,13,367.0,310.2,12.6
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,350.0,301.9,11.5
25.4,14.2,23.7,24.7,63.7,51.8,56.6,65,333.1,290.4,3.9
20.4,14.9,23.6,24.6,60.5,58.5,59.3,93,332.7,307.6,6.3
36.1,14.7,24.0,24.8,57.3,53.9,55.3,89,334.0,294.0,5.4
